operation,predecessor_operations,processing_time,machine,workcenter,due_date,end_product
J.1,[],6,M1,WC#1,,
J.2,['J.1'],2,M1,WC#2,,
J.3,[],2,M1,WC#1,,
J.4,"['J.2', 'J.3']",1,M1,WC#1,,
J.5,['J.4'],42,M1,WC#3,,
J.6,['J.5'],1,M1,WC#2,,
J.7,['J.6'],3,M1,WC#3,,
J.8,['J.7'],38,M1,WC#2,,
J.9,['J.8'],3,M1,WC#2,,
J.10,['J.9'],70,M1,WC#1,,
J.11,['J.10'],1,M1,WC#3,,
J.12,['J.11'],14,M1,WC#1,,
J.13,['J.12'],2,M1,WC#3,,
J.14,['J.13'],1,M1,WC#1,,
J.15,['J.14'],7,M1,WC#3,,
J.16,['J.15'],43,M1,WC#1,,
J.17,['J.16'],1,M1,WC#2,,
J.18,[],2,M1,WC#3,,
J.19,['J.18'],3,M1,WC#3,,
J.20,"['J.17', 'J.19']",13,M1,WC#3,,
J.21,['J.20'],1,M1,WC#1,,
J.22,['J.21'],1,M1,WC#2,,
J.23,['J.22'],8,M1,WC#2,,
J.24,['J.23'],1,M1,WC#3,,
J.25,['J.24'],1,M1,WC#1,,
J.26,['J.25'],1,M1,WC#1,,
J.27,['J.26'],12,M1,WC#1,,
J.28,['J.27'],2,M1,WC#3,,
J.29,['J.28'],27,M1,WC#1,,
J.30,['J.29'],4,M1,WC#3,,
J.31,['J.30'],4,M1,WC#3,,
J.32,[],8,M1,WC#1,,
J.33,"['J.31', 'J.32']",1,M1,WC#1,,
J.34,['J.33'],1,M1,WC#2,,
J.35,['J.34'],1,M1,WC#2,,
J.36,['J.35'],5,M1,WC#2,,
J.37,['J.36'],1,M1,WC#2,,
J.38,['J.37'],1,M1,WC#1,,
J.39,['J.38'],1,M1,WC#3,,
J.40,['J.39'],1,M1,WC#2,,
J.41,['J.40'],5,M1,WC#1,,
J.42,['J.41'],4,M1,WC#3,,
J.43,['J.42'],2,M1,WC#2,,
J.44,['J.43'],2,M1,WC#2,,
J.45,['J.44'],4,M1,WC#3,,
J.46,['J.45'],1,M1,WC#2,,
J.47,['J.46'],1,M1,WC#3,,
J.48,['J.47'],8,M1,WC#1,,
J.49,['J.48'],13,M1,WC#2,,
J.50,['J.49'],16,M1,WC#2,,
J.51,['J.50'],3,M1,WC#3,,
J.52,['J.51'],3,M1,WC#2,,
J.53,['J.52'],1,M1,WC#2,,
J.54,['J.53'],1,M1,WC#3,,
J.55,['J.54'],1,M1,WC#1,,
J.56,['J.55'],1,M1,WC#2,,
J.57,['J.56'],4,M1,WC#3,,
J.58,['J.57'],11,M1,WC#3,,
J.59,['J.58'],1,M1,WC#3,,
J.60,['J.59'],1,M1,WC#2,,
J.61,['J.60'],2,M1,WC#3,,
J.62,['J.61'],1,M1,WC#1,,
J.63,['J.62'],6,M1,WC#3,,
J.64,['J.63'],1,M1,WC#2,,
J.65,['J.64'],1,M1,WC#3,,
J.66,['J.65'],6,M1,WC#3,,
J.67,['J.66'],1,M1,WC#2,,
J.68,['J.67'],1,M1,WC#1,,
J.69,[],1,M1,WC#2,,
J.70,"['J.68', 'J.69']",1,M1,WC#1,,
J.71,['J.70'],5,M1,WC#3,,
J.72,['J.71'],1,M1,WC#1,,
J.73,['J.72'],5,M1,WC#1,,
J.74,['J.73'],2,M1,WC#3,,
J.75,['J.74'],18,M1,WC#1,,
J.76,['J.75'],3,M1,WC#2,,
J.77,['J.76'],27,M1,WC#3,,
J.78,['J.77'],2,M1,WC#3,,
J.79,[],1,M1,WC#1,,
J.80,"['J.78', 'J.79']",7,M1,WC#3,,
J.81,['J.80'],1,M1,WC#2,,
J.82,['J.81'],1,M1,WC#3,,
J.83,['J.82'],52,M1,WC#1,,
J.84,['J.83'],2,M1,WC#2,,
J.85,[],3,M1,WC#1,,
J.86,"['J.84', 'J.85']",1,M1,WC#3,,
J.87,['J.86'],1,M1,WC#1,,
J.88,['J.87'],5,M1,WC#3,,
J.89,['J.88'],2,M1,WC#3,,
J.90,['J.89'],3,M1,WC#1,,
J.91,['J.90'],10,M1,WC#1,,
J.92,[],3,M1,WC#3,,
J.93,"['J.91', 'J.92']",1,M1,WC#3,,
J.94,['J.93'],1,M1,WC#2,,
J.95,['J.94'],2,M1,WC#2,,
J.96,['J.95'],1,M1,WC#3,,
J.97,[],22,M1,WC#3,,
J.98,"['J.96', 'J.97']",24,M1,WC#1,,
J.99,['J.98'],7,M1,WC#3,,
J.100,['J.99'],2,M1,WC#1,,
J.101,['J.100'],4,M1,WC#2,,
J.102,['J.101'],1,M1,WC#3,,
J.103,['J.102'],6,M1,WC#1,,
J.104,['J.103'],8,M1,WC#1,,
J.105,[],1,M1,WC#1,,
J.106,"['J.104', 'J.105']",12,M1,WC#1,,
J.107,['J.106'],3,M1,WC#2,,
J.108,['J.107'],1,M1,WC#2,,
J.109,['J.108'],50,M1,WC#1,,
J.110,[],6,M1,WC#2,,
J.111,"['J.109', 'J.110']",1,M1,WC#2,,
J.112,['J.111'],1,M1,WC#2,,
J.113,['J.112'],3,M1,WC#3,,
J.114,['J.113'],1,M1,WC#3,,
J.115,['J.114'],2,M1,WC#1,,
J.116,[],3,M1,WC#3,,
J.117,"['J.115', 'J.116']",4,M1,WC#2,,
