operation,predecessor_operations,processing_time,machine,workcenter,due_date,end_product
J.1,[],1,M1,WC#1,,
J.2,[],1,M1,WC#1,,
J.3,"['J.1', 'J.2']",1,M1,WC#3,,
J.4,[],2,M1,WC#2,,
J.5,['J.3'],1,M1,WC#2,,
J.6,"['J.4', 'J.5']",1,M1,WC#1,,
J.7,[],1,M1,WC#3,,
J.8,"['J.6', 'J.7']",1,M1,WC#3,,
J.9,[],2,M1,WC#3,,
J.10,"['J.8', 'J.9']",1,M1,WC#1,,
J.11,[],1,M1,WC#2,,
J.12,[],1,M1,WC#1,,
J.13,['J.12'],1,M1,WC#1,,
J.14,"['J.10', 'J.11', 'J.13']",1,M1,WC#2,,
J.15,['J.14'],2,M1,WC#3,,
J.16,['J.15'],1,M1,WC#2,,
J.17,[],1,M1,WC#1,,
J.18,"['J.16', 'J.17']",1,M1,WC#1,,
J.19,['J.18'],1,M1,WC#2,,
J.20,['J.19'],1,M1,WC#2,,
J.21,['J.20'],1,M1,WC#2,,
J.22,['J.21'],1,M1,WC#1,,
J.23,['J.22'],1,M1,WC#2,,
J.24,[],1,M1,WC#2,,
J.25,"['J.23', 'J.24']",1,M1,WC#3,,
J.26,['J.25'],1,M1,WC#1,,
J.27,[],1,M1,WC#1,,
J.28,['J.26'],1,M1,WC#2,,
J.29,['J.27'],1,M1,WC#1,,
J.30,['J.29'],1,M1,WC#3,,
J.31,"['J.28', 'J.30']",1,M1,WC#1,,
J.32,['J.31'],1,M1,WC#1,,
J.33,['J.32'],1,M1,WC#1,,
J.34,['J.33'],1,M1,WC#1,,
J.35,['J.34'],1,M1,WC#2,,
J.36,[],1,M1,WC#2,,
J.37,"['J.35', 'J.36']",1,M1,WC#3,,
J.38,[],1,M1,WC#3,,
J.39,"['J.37', 'J.38']",1,M1,WC#1,,
J.40,[],1,M1,WC#2,,
J.41,['J.39'],1,M1,WC#1,,
J.42,"['J.40', 'J.41']",1,M1,WC#2,,
J.43,['J.42'],1,M1,WC#3,,
J.44,['J.43'],1,M1,WC#1,,
J.45,['J.44'],1,M1,WC#3,,
J.46,['J.45'],1,M1,WC#2,,
J.47,[],1,M1,WC#2,,
J.48,['J.47'],1,M1,WC#2,,
J.49,['J.48'],1,M1,WC#2,,
J.50,['J.46'],1,M1,WC#2,,
J.51,['J.49'],1,M1,WC#1,,
J.52,['J.50'],1,M1,WC#2,,
J.53,['J.52'],1,M1,WC#2,,
J.54,['J.51'],1,M1,WC#2,,
J.55,['J.54'],1,M1,WC#2,,
J.56,"['J.53', 'J.55']",1,M1,WC#1,,
J.57,[],1,M1,WC#3,,
J.58,['J.57'],1,M1,WC#1,,
J.59,[],1,M1,WC#3,,
J.60,"['J.56', 'J.58', 'J.59']",2,M1,WC#2,,
J.61,[],1,M1,WC#1,,
J.62,"['J.60', 'J.61']",2,M1,WC#3,,
J.63,['J.62'],1,M1,WC#3,,
J.64,['J.63'],2,M1,WC#2,,
J.65,['J.64'],1,M1,WC#2,,
J.66,[],2,M1,WC#1,,
J.67,[],1,M1,WC#2,,
J.68,"['J.65', 'J.66', 'J.67']",1,M1,WC#1,,
J.69,['J.68'],1,M1,WC#1,,
J.70,[],1,M1,WC#3,,
J.71,[],1,M1,WC#3,,
J.72,['J.69'],1,M1,WC#1,,
J.73,"['J.70', 'J.71', 'J.72']",1,M1,WC#2,,
J.74,['J.73'],1,M1,WC#2,,
J.75,[],1,M1,WC#1,,
J.76,"['J.74', 'J.75']",1,M1,WC#3,,
J.77,[],1,M1,WC#1,,
J.78,"['J.76', 'J.77']",1,M1,WC#3,,
J.79,['J.78'],1,M1,WC#2,,
J.80,[],1,M1,WC#2,,
J.81,['J.79'],1,M1,WC#3,,
J.82,['J.81'],1,M1,WC#3,,
J.83,['J.80'],1,M1,WC#2,,
J.84,[],1,M1,WC#2,,
J.85,"['J.83', 'J.84']",1,M1,WC#1,,
J.86,['J.82'],1,M1,WC#3,,
J.87,['J.86'],1,M1,WC#2,,
J.88,"['J.85', 'J.87']",1,M1,WC#3,,
J.89,[],1,M1,WC#2,,
J.90,['J.88'],1,M1,WC#3,,
J.91,"['J.89', 'J.90']",1,M1,WC#2,,
J.92,['J.91'],1,M1,WC#2,,
J.93,['J.92'],1,M1,WC#2,,
J.94,[],1,M1,WC#3,,
J.95,['J.94'],1,M1,WC#3,,
J.96,['J.93'],1,M1,WC#3,,
J.97,"['J.95', 'J.96']",1,M1,WC#1,,
J.98,['J.97'],1,M1,WC#1,,
J.99,[],1,M1,WC#3,,
J.100,['J.99'],1,M1,WC#2,,
J.101,"['J.98', 'J.100']",1,M1,WC#2,,
J.102,[],1,M1,WC#2,,
J.103,[],2,M1,WC#3,,
J.104,"['J.101', 'J.102', 'J.103']",1,M1,WC#1,,
J.105,['J.104'],1,M1,WC#1,,
J.106,['J.105'],1,M1,WC#2,,
J.107,[],1,M1,WC#2,,
J.108,[],1,M1,WC#2,,
J.109,"['J.106', 'J.108']",2,M1,WC#3,,
J.110,['J.109'],1,M1,WC#1,,
J.111,"['J.107', 'J.110']",1,M1,WC#3,,
J.112,[],1,M1,WC#3,,
J.113,"['J.111', 'J.112']",1,M1,WC#3,,
J.114,[],1,M1,WC#1,,
J.115,"['J.113', 'J.114']",3,M1,WC#3,,
J.116,[],1,M1,WC#3,,
J.117,['J.115'],1,M1,WC#1,,
J.118,['J.116'],1,M1,WC#3,,
J.119,['J.117'],1,M1,WC#3,,
J.120,['J.118'],1,M1,WC#2,,
J.121,['J.119'],1,M1,WC#2,,
J.122,"['J.120', 'J.121']",1,M1,WC#2,,
J.123,[],1,M1,WC#2,,
J.124,"['J.122', 'J.123']",1,M1,WC#3,,
J.125,[],1,M1,WC#3,,
J.126,"['J.124', 'J.125']",1,M1,WC#3,,
J.127,[],1,M1,WC#1,,
J.128,['J.127'],1,M1,WC#1,,
J.129,[],1,M1,WC#2,,
J.130,"['J.126', 'J.128']",1,M1,WC#1,,
J.131,['J.130'],1,M1,WC#1,,
J.132,['J.131'],1,M1,WC#1,,
J.133,['J.129'],1,M1,WC#3,,
J.134,['J.132'],1,M1,WC#1,,
J.135,"['J.133', 'J.134']",1,M1,WC#1,,
J.136,['J.135'],1,M1,WC#1,,
J.137,['J.136'],1,M1,WC#1,,
J.138,[],1,M1,WC#3,,
J.139,"['J.137', 'J.138']",1,M1,WC#1,,
J.140,['J.139'],1,M1,WC#3,,
J.141,['J.140'],1,M1,WC#3,,
J.142,['J.141'],1,M1,WC#1,,
J.143,['J.142'],1,M1,WC#3,,
J.144,[],1,M1,WC#2,,
J.145,['J.143'],2,M1,WC#2,,
J.146,"['J.144', 'J.145']",1,M1,WC#1,,
J.147,[],1,M1,WC#3,,
J.148,['J.146'],1,M1,WC#2,,
J.149,[],2,M1,WC#2,,
J.150,"['J.147', 'J.148', 'J.149']",1,M1,WC#3,,
J.151,[],1,M1,WC#3,,
J.152,"['J.150', 'J.151']",1,M1,WC#2,,
J.153,[],1,M1,WC#2,,
J.154,['J.152'],1,M1,WC#1,,
J.155,"['J.153', 'J.154']",1,M1,WC#1,,
J.156,['J.155'],1,M1,WC#2,,
J.157,['J.156'],1,M1,WC#2,,
J.158,[],1,M1,WC#2,,
J.159,[],1,M1,WC#3,,
J.160,"['J.157', 'J.158', 'J.159']",1,M1,WC#1,,
J.161,['J.160'],1,M1,WC#2,,
J.162,['J.161'],1,M1,WC#3,,
J.163,['J.162'],1,M1,WC#2,,
J.164,['J.163'],1,M1,WC#3,,
J.165,['J.164'],2,M1,WC#3,,
J.166,['J.165'],1,M1,WC#1,,
J.167,['J.166'],1,M1,WC#2,,
J.168,[],1,M1,WC#2,,
J.169,['J.167'],1,M1,WC#2,,
J.170,[],1,M1,WC#1,,
J.171,"['J.168', 'J.169', 'J.170']",1,M1,WC#3,,
J.172,['J.171'],1,M1,WC#2,,
J.173,['J.172'],1,M1,WC#1,,
J.174,['J.173'],1,M1,WC#1,,
J.175,['J.174'],1,M1,WC#3,,
J.176,['J.175'],1,M1,WC#3,,
J.177,[],1,M1,WC#3,,
J.178,['J.177'],1,M1,WC#1,,
J.179,['J.176'],2,M1,WC#1,,
J.180,['J.178'],1,M1,WC#1,,
J.181,"['J.179', 'J.180']",1,M1,WC#2,,
J.182,['J.181'],1,M1,WC#3,,
J.183,[],1,M1,WC#1,,
J.184,"['J.182', 'J.183']",2,M1,WC#1,,
J.185,['J.184'],1,M1,WC#1,,
J.186,['J.185'],1,M1,WC#3,,
J.187,[],2,M1,WC#2,,
