operation,predecessor_operations,processing_time,machine,workcenter,due_date,end_product
J.1,[],5,M1,WC#1,,
J.2,['J.1'],2,M1,WC#2,,
J.3,[],7,M1,WC#1,,
J.4,"['J.2', 'J.3']",9,M1,WC#3,,
J.5,['J.4'],11,M1,WC#1,,
J.6,['J.5'],6,M1,WC#3,,
J.7,[],1,M1,WC#3,,
J.8,"['J.6', 'J.7']",1,M1,WC#1,,
J.9,['J.8'],4,M1,WC#3,,
J.10,[],17,M1,WC#1,,
J.11,"['J.9', 'J.10']",12,M1,WC#1,,
J.12,['J.11'],4,M1,WC#1,,
J.13,['J.12'],1,M1,WC#3,,
J.14,['J.13'],8,M1,WC#3,,
J.15,['J.14'],1,M1,WC#3,,
J.16,['J.15'],33,M1,WC#1,,
J.17,['J.16'],10,M1,WC#2,,
J.18,['J.17'],26,M1,WC#3,,
J.19,['J.18'],2,M1,WC#3,,
J.20,['J.19'],1,M1,WC#3,,
J.21,['J.20'],25,M1,WC#1,,
J.22,['J.21'],2,M1,WC#1,,
J.23,['J.22'],3,M1,WC#1,,
J.24,['J.23'],4,M1,WC#2,,
J.25,['J.24'],8,M1,WC#3,,
J.26,['J.25'],7,M1,WC#1,,
J.27,['J.26'],2,M1,WC#2,,
J.28,['J.27'],1,M1,WC#1,,
J.29,['J.28'],2,M1,WC#2,,
J.30,['J.29'],1,M1,WC#1,,
J.31,['J.30'],1,M1,WC#1,,
J.32,[],10,M1,WC#3,,
J.33,"['J.31', 'J.32']",1,M1,WC#1,,
J.34,['J.33'],9,M1,WC#2,,
J.35,['J.34'],4,M1,WC#2,,
J.36,['J.35'],1,M1,WC#2,,
J.37,['J.36'],42,M1,WC#3,,
J.38,['J.37'],3,M1,WC#2,,
J.39,['J.38'],1,M1,WC#2,,
J.40,['J.39'],1,M1,WC#1,,
J.41,['J.40'],17,M1,WC#3,,
J.42,['J.41'],1,M1,WC#2,,
J.43,['J.42'],1,M1,WC#3,,
J.44,[],2,M1,WC#2,,
J.45,"['J.43', 'J.44']",9,M1,WC#2,,
J.46,['J.45'],2,M1,WC#1,,
J.47,['J.46'],26,M1,WC#1,,
J.48,['J.47'],2,M1,WC#2,,
J.49,['J.48'],1,M1,WC#2,,
J.50,['J.49'],3,M1,WC#2,,
J.51,[],1,M1,WC#3,,
J.52,"['J.50', 'J.51']",1,M1,WC#2,,
J.53,['J.52'],15,M1,WC#3,,
J.54,['J.53'],15,M1,WC#2,,
J.55,['J.54'],1,M1,WC#3,,
J.56,['J.55'],3,M1,WC#2,,
J.57,['J.56'],2,M1,WC#1,,
J.58,['J.57'],4,M1,WC#3,,
J.59,['J.58'],1,M1,WC#3,,
J.60,['J.59'],1,M1,WC#3,,
J.61,['J.60'],22,M1,WC#1,,
J.62,['J.61'],28,M1,WC#2,,
J.63,['J.62'],1,M1,WC#1,,
J.64,['J.63'],2,M1,WC#3,,
J.65,['J.64'],12,M1,WC#2,,
J.66,['J.65'],20,M1,WC#3,,
J.67,['J.66'],1,M1,WC#2,,
J.68,['J.67'],1,M1,WC#3,,
J.69,['J.68'],4,M1,WC#2,,
J.70,['J.69'],10,M1,WC#2,,
J.71,['J.70'],2,M1,WC#1,,
J.72,['J.71'],12,M1,WC#1,,
J.73,['J.72'],3,M1,WC#1,,
J.74,[],2,M1,WC#2,,
J.75,"['J.73', 'J.74']",1,M1,WC#3,,
J.76,[],9,M1,WC#3,,
J.77,['J.76'],1,M1,WC#2,,
J.78,"['J.75', 'J.77']",5,M1,WC#1,,
J.79,['J.78'],2,M1,WC#1,,
J.80,[],1,M1,WC#3,,
J.81,"['J.79', 'J.80']",1,M1,WC#1,,
J.82,['J.81'],4,M1,WC#2,,
J.83,['J.82'],2,M1,WC#2,,
J.84,['J.83'],5,M1,WC#2,,
J.85,['J.84'],1,M1,WC#3,,
J.86,['J.85'],5,M1,WC#3,,
J.87,['J.86'],2,M1,WC#2,,
J.88,['J.87'],9,M1,WC#3,,
J.89,['J.88'],1,M1,WC#2,,
J.90,['J.89'],8,M1,WC#1,,
J.91,['J.90'],1,M1,WC#1,,
J.92,['J.91'],1,M1,WC#1,,
J.93,['J.92'],7,M1,WC#3,,
J.94,['J.93'],2,M1,WC#2,,
J.95,['J.94'],1,M1,WC#2,,
J.96,['J.95'],1,M1,WC#1,,
J.97,['J.96'],1,M1,WC#3,,
J.98,['J.97'],2,M1,WC#2,,
J.99,[],1,M1,WC#1,,
J.100,"['J.98', 'J.99']",5,M1,WC#2,121,1.0
